emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,12,2,3,3.359818286283781,0.3942002718622565,0.4358452138492871,russian
skipgram,5,2,19,0.01,0.3397478433974784,0.3928571428571428,english
skipgram,7,2,20,5.455594781168514,0.3351851851851852,0.45,vietnamese
cbow,2,2,15,8.858667904100823,0.3907849829351535,0.421455938697318,german
svd,2,2,8,100.0,0.5617152333570244,0.582089552238806,french
