emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,13,1,20,14.38449888287663,0.9617958728388176,0.9573934837092732,russian
skipgram,3,1,16,0.0162377673918872,0.8386880856760375,0.8614457831325302,english
skipgram,1,1,2,8.858667904100823,0.8240740740740741,0.9166666666666666,vietnamese
SVD,13,1,5,0.01,0.7723785166240409,0.9090909090909092,german
svd,2,2,7,37.92690190732246,0.8019426676143094,0.7825159914712153,french
