,rus,en,ger,vn,fr
ec,0.78,0.8275,0.9758333333333333,0.9691666666666666,0.865
wishart,0.55,0.7325,0.7147623019182652,0.665,0.605
fuzzy,0.695,0.8539130434782609,0.890742285237698,0.8133333333333334,0.9257714762301918
kmeans,0.9766666666666667,0.8675,0.6130108423686406,0.6966666666666667,0.51
fcmeans,0.9466666666666667,0.7766666666666666,0.6021684737281068,0.7208333333333333,0.6708333333333333
all,0.9916666666666667,0.9078260869565218,0.9124270225187656,0.7166666666666667,0.8573811509591326
