,rus,en,ger,vn,fr
ec,0.7691666666666667,0.8241666666666667,0.9716666666666667,0.9483333333333334,0.6425
wishart,0.5616666666666666,0.705,0.7197664720600501,0.6458333333333334,0.635
fuzzy,0.6966666666666667,0.8530434782608696,0.8623853211009175,0.8775,0.9149291075896581
kmeans,0.9733333333333334,0.8591666666666666,0.6330275229357798,0.6658333333333334,0.6908333333333333
fcmeans,0.93,0.7816666666666666,0.6747289407839867,0.73,0.635
all,0.98,0.8782608695652174,0.896580483736447,0.72,0.8582151793160967
