emb_type,m,n,k,best_C,train_acc,test_acc,language
skipgram,1,5,10,0.01,0.6774734488541084,0.6482412060301508,russian
cbow,1,3,5,0.01,0.8155555555555556,0.835,english
cbow,8,8,6,0.0428133239871939,0.8416666666666667,0.885,vietnamese
SVD,1,4,5,0.01,0.9711815561959656,0.9871794871794872,german
cbow,2,5,6,1.2742749857031337,0.9422222222222222,0.96,french
