emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,8,3,6,0.1832980710832435,0.96,0.98,russian
skipgram,1,2,8,0.069519279617756,0.5621890547263682,0.6716417910447762,english
svd,3,3,7,0.0162377673918872,0.6611111111111111,0.8,vietnamese
cbow,2,5,6,0.069519279617756,0.5944444444444444,0.61,german
skipgram,4,2,10,14.38449888287663,0.815,0.835,french
