emb_type,m,n,best_C,train_acc,test_acc,lang
cbow,2,6,48.32930238571752,0.9572222222222222,0.99,ru
SVD,5,5,0.01,0.6872222222222222,0.765,en
skipgram,1,2,263.6650898730355,0.9706806282722512,0.9906542056074766,ger
cbow,1,7,42813.32398719387,0.915929203539823,1.0,vn
skipgram,4,2,7847.5997035146065,0.9559082892416224,0.9576719576719576,fr
