emb_type,m,n,best_C,train_acc,test_acc,lang
SVD,3,3,20.69138081114788,0.9888888888888888,1.0,ru
SVD,3,2,3359.818286283781,0.880718954248366,0.8970588235294118,en
skipgram,5,2,48.32930238571752,0.9088888888888887,0.935,ger
cbow,2,2,263.6650898730355,0.95,1.0,vn
svd,1,4,0.1274274985703133,0.9938888888888888,1.0,fr
