emb_type,m,n,best_C,train_acc,test_acc,lang
cbow,4,7,8.858667904100823,0.9772222222222222,1.0,ru
cbow,3,3,8.858667904100823,0.9672222222222222,0.99,en
skipgram,1,5,263.6650898730355,0.9738888888888888,0.995,ger
cbow,1,3,20.69138081114788,0.9888888888888888,1.0,vn
svd,1,5,3.79269019073225,1.0,1.0,fr
