emb_type,m,n,best_C,train_acc,test_acc,lang
cbow,11,2,48.32930238571752,0.7350157728706624,0.8450704225352113,ru
SVD,5,3,1.623776739188721,0.5849673202614379,0.6294117647058823,en
SVD,2,2,18329.807108324338,0.7697781498534952,0.7406015037593985,ger
cbow,3,2,100000.0,0.8759259259259259,0.9333333333333332,vn
skipgram,4,2,100000.0,0.888758231420508,0.8710359408033826,fr
