emb_type,m,n,k,best_C,train_acc,test_acc,language
skipgram,3,7,2,2.06913808111479,0.6288888888888889,0.665,russian
skipgram,2,6,2,0.4832930238571752,0.8581293157564344,0.8192090395480226,english
svd,1,7,2,0.1832980710832435,0.8944444444444445,0.95,vietnamese
cbow,6,2,10,0.0162377673918872,0.6588888888888889,0.68,german
skipgram,2,6,8,0.0263665089873035,0.7505555555555555,0.78,french
