emb_type,m,n,k,best_C,train_acc,test_acc,language
skipgram,1,2,7,3.359818286283781,0.990163201430807,0.9919517102615694,russian
skipgram,2,7,8,0.0428133239871939,0.7956204379562044,0.8690476190476191,english
cbow,1,2,5,0.01,0.8240740740740741,0.9166666666666666,vietnamese
SVD,1,5,5,0.01,0.7914072229140723,0.8770949720670391,german
skipgram,5,6,8,0.069519279617756,0.9044585987261148,0.910828025477707,french
