emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,3,2,5,3.359818286283781,0.7616666666666667,0.78,russian
cbow,1,7,7,0.01,0.6368159203980099,0.6567164179104478,english
svd,5,2,6,0.1128837891684688,0.6888888888888889,0.75,vietnamese
skipgram,4,8,7,0.2976351441631317,0.6627777777777778,0.7,german
svd,6,6,8,0.01,0.75,0.75,french
