emb_type,m,n,k,best_C,train_acc,test_acc,language
skipgram,1,3,5,0.4832930238571752,0.7522222222222222,0.78,russian
SVD,1,2,7,0.01,0.6683333333333333,0.72,english
svd,2,3,6,0.01,0.9424778761061948,1.0,vietnamese
cbow,2,3,5,0.2976351441631317,0.8865323435843054,0.8857142857142857,german
cbow,1,7,7,1.2742749857031337,0.9563421828908556,0.9682539682539684,french
