emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,1,7,5,0.1832980710832435,0.4952487423141419,0.5678391959798995,russian
cbow,1,6,6,2.06913808111479,0.7622222222222222,0.76,english
cbow,2,2,8,0.01,0.6677777777777778,0.66,vietnamese
SVD,1,5,6,0.01,0.9813084112149532,1.0,german
skipgram,1,7,8,0.069519279617756,0.9,0.92,french
