emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,4,6,10,0.7847599703514611,0.3193296602387511,0.3305785123966942,russian
skipgram,2,8,4,0.01,0.3158593231585932,0.3333333333333333,english
svd,1,8,8,0.2976351441631317,0.2407407407407407,0.3833333333333333,vietnamese
SVD,2,4,8,0.2976351441631317,0.4214162348877375,0.4922279792746113,german
skipgram,1,8,2,0.1128837891684688,0.3897145553196509,0.3694267515923566,french
