emb_type,m,n,k,best_C,train_acc,test_acc,language
SVD,1,7,2,3.359818286283781,0.795418098510882,0.8350515463917526,russian
SVD,2,2,2,0.01,0.7951807228915663,0.8433734939759037,english
cbow,1,3,2,1.2742749857031337,0.8240740740740741,0.9166666666666666,vietnamese
SVD,1,5,2,0.01,0.7914072229140723,0.8770949720670391,german
skipgram,2,5,4,0.01,0.7973578674215617,0.8301486199575372,french
